"","Territorio","Año","Fecha","Pollos","Panal","Edad","Vertebrado","ID","Juliano","Presa"
"1","CANTERA","2018",2018-07-21,"2","G",22,NA,"CANTERA 2018",202,"VELUTINA"
"2","CANTERA","2018",2018-07-21,"2","P",22,NA,"CANTERA 2018",202,"VESPULA"
"3","CANTERA","2018",2018-07-21,"2","G",22,NA,"CANTERA 2018",202,"VELUTINA"
"4","CANTERA","2018",2018-07-21,"2",NA,22,"AVE","CANTERA 2018",202,"AVE"
"5","CANTERA","2018",2018-07-21,"2","G",22,NA,"CANTERA 2018",202,"VELUTINA"
"6","CANTERA","2018",2018-07-22,"2","G",23,NA,"CANTERA 2018",203,"VELUTINA"
"7","CANTERA","2018",2018-07-22,"2",NA,23,"AVE","CANTERA 2018",203,"AVE"
"8","CANTERA","2018",2018-07-22,"2",NA,23,"AVE","CANTERA 2018",203,"AVE"
"9","CANTERA","2018",2018-07-22,"2",NA,23,"AVE","CANTERA 2018",203,"AVE"
"10","CANTERA","2018",2018-07-22,"2","P",23,NA,"CANTERA 2018",203,"VESPULA"
"11","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"12","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"13","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"14","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"15","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"16","CANTERA","2018",2018-07-23,"2","G",24,NA,"CANTERA 2018",204,"VELUTINA"
"17","CANTERA","2018",2018-07-23,"2",NA,24,"AVE","CANTERA 2018",204,"AVE"
"18","CANTERA","2018",2018-07-24,"2","G",25,NA,"CANTERA 2018",205,"VELUTINA"
"19","CANTERA","2018",2018-07-24,"2","G",25,NA,"CANTERA 2018",205,"VELUTINA"
"20","CANTERA","2018",2018-07-24,"2","P",25,NA,"CANTERA 2018",205,"VESPULA"
"21","CANTERA","2018",2018-07-24,"2","P",25,NA,"CANTERA 2018",205,"VESPULA"
"22","CANTERA","2018",2018-07-25,"2","G",26,NA,"CANTERA 2018",206,"VELUTINA"
"23","CANTERA","2018",2018-07-25,"2","P",26,NA,"CANTERA 2018",206,"VESPULA"
"24","CANTERA","2018",2018-07-25,"2","P",26,NA,"CANTERA 2018",206,"VESPULA"
"25","CANTERA","2018",2018-07-25,"2","G",26,NA,"CANTERA 2018",206,"VELUTINA"
"26","CANTERA","2018",2018-07-25,"2","G",26,NA,"CANTERA 2018",206,"VELUTINA"
"27","CANTERA","2018",2018-07-25,"2","G",26,NA,"CANTERA 2018",206,"VELUTINA"
"28","CANTERA","2018",2018-07-26,"2",NA,27,"REPTIL","CANTERA 2018",207,"REPTIL"
"29","CANTERA","2018",2018-07-26,"2","G",27,NA,"CANTERA 2018",207,"VELUTINA"
"30","CANTERA","2018",2018-07-26,"2","P",27,NA,"CANTERA 2018",207,"VESPULA"
"31","CANTERA","2018",2018-07-26,"2","G",27,NA,"CANTERA 2018",207,"VELUTINA"
"32","CANTERA","2018",2018-07-27,"2","P",28,NA,"CANTERA 2018",208,"VESPULA"
"33","CANTERA","2018",2018-07-27,"2",NA,28,"REPTIL","CANTERA 2018",208,"REPTIL"
"34","CANTERA","2018",2018-07-27,"2","P",28,NA,"CANTERA 2018",208,"VESPULA"
"35","CANTERA","2018",2018-07-27,"2","P",28,NA,"CANTERA 2018",208,"VESPULA"
"36","CANTERA","2018",2018-07-27,"2","P",28,NA,"CANTERA 2018",208,"VESPULA"
"37","CANTERA","2018",2018-07-27,"2",NA,28,"AVE","CANTERA 2018",208,"AVE"
"38","CANTERA","2018",2018-07-28,"2","G",29,NA,"CANTERA 2018",209,"VELUTINA"
"39","CANTERA","2018",2018-07-28,"2","P",29,NA,"CANTERA 2018",209,"VESPULA"
"40","CANTERA","2018",2018-07-28,"2","P",29,NA,"CANTERA 2018",209,"VESPULA"
"41","CANTERA","2018",2018-07-28,"2","P",29,NA,"CANTERA 2018",209,"VESPULA"
"42","CANTERA","2018",2018-07-28,"2","P",29,NA,"CANTERA 2018",209,"VESPULA"
"43","CANTERA","2018",2018-07-28,"2","P",29,NA,"CANTERA 2018",209,"VESPULA"
"44","CANTERA","2018",2018-07-28,"2",NA,29,"AVE","CANTERA 2018",209,"AVE"
"45","CANTERA","2018",2018-07-28,"2","G",29,NA,"CANTERA 2018",209,"VELUTINA"
"46","CANTERA","2018",2018-07-29,"2","P",30,NA,"CANTERA 2018",210,"VESPULA"
"47","CANTERA","2018",2018-07-29,"2","G",30,NA,"CANTERA 2018",210,"VELUTINA"
"48","CANTERA","2018",2018-07-29,"2","G",30,NA,"CANTERA 2018",210,"VELUTINA"
"49","CANTERA","2018",2018-07-29,"2",NA,30,"AVE","CANTERA 2018",210,"AVE"
"50","CANTERA","2018",2018-07-29,"2","P",30,NA,"CANTERA 2018",210,"VESPULA"
"51","CANTERA","2018",2018-07-29,"2","G",30,NA,"CANTERA 2018",210,"VELUTINA"
"52","CANTERA","2018",2018-07-29,"2","P",30,NA,"CANTERA 2018",210,"VESPULA"
"53","CANTERA","2018",2018-07-29,"2","P",30,NA,"CANTERA 2018",210,"VESPULA"
"54","CANTERA","2018",2018-07-29,"2",NA,30,"AVE","CANTERA 2018",210,"AVE"
"55","CANTERA","2018",2018-07-29,"2","G",30,NA,"CANTERA 2018",210,"VELUTINA"
"56","CANTERA","2018",2018-07-29,"2",NA,30,"AVE","CANTERA 2018",210,"AVE"
"57","CANTERA","2018",2018-07-30,"2","G",31,NA,"CANTERA 2018",211,"VELUTINA"
"58","CANTERA","2018",2018-07-30,"2","P",31,NA,"CANTERA 2018",211,"VESPULA"
"59","CANTERA","2018",2018-07-30,"2","P",31,NA,"CANTERA 2018",211,"VESPULA"
"60","CANTERA","2018",2018-07-30,"2","P",31,NA,"CANTERA 2018",211,"VESPULA"
"61","CANTERA","2018",2018-07-30,"2","P",31,NA,"CANTERA 2018",211,"VESPULA"
"62","CANTERA","2018",2018-07-31,"2","P",32,NA,"CANTERA 2018",212,"VESPULA"
"63","CANTERA","2018",2018-07-31,"2","G",32,NA,"CANTERA 2018",212,"VELUTINA"
"64","CANTERA","2018",2018-07-31,"2","P",32,NA,"CANTERA 2018",212,"VESPULA"
"65","CANTERA","2018",2018-07-31,"2","G",32,NA,"CANTERA 2018",212,"VELUTINA"
"66","CANTERA","2018",2018-07-31,"2",NA,32,"AVE","CANTERA 2018",212,"AVE"
"67","CANTERA","2018",2018-07-31,"2","G",32,NA,"CANTERA 2018",212,"VELUTINA"
"68","CANTERA","2018",2018-08-01,"2","G",33,NA,"CANTERA 2018",213,"VELUTINA"
"69","CANTERA","2018",2018-08-01,"2","G",33,NA,"CANTERA 2018",213,"VELUTINA"
"70","CANTERA","2018",2018-08-01,"2","P",33,NA,"CANTERA 2018",213,"VESPULA"
"71","CANTERA","2018",2018-08-01,"2","P",33,NA,"CANTERA 2018",213,"VESPULA"
"72","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"73","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"74","FRAMIL","2018",2018-07-24,"2",NA,24,"REPTIL","FRAMIL 2018",205,"REPTIL"
"75","FRAMIL","2018",2018-07-24,"2","P",24,NA,"FRAMIL 2018",205,"VESPULA"
"76","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"77","FRAMIL","2018",2018-07-24,"2","P",24,NA,"FRAMIL 2018",205,"VESPULA"
"78","FRAMIL","2018",2018-07-24,"2",NA,24,"REPTIL","FRAMIL 2018",205,"REPTIL"
"79","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"80","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"81","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"82","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"83","FRAMIL","2018",2018-07-25,"2","P",25,NA,"FRAMIL 2018",206,"VESPULA"
"84","FRAMIL","2018",2018-07-25,"2",NA,25,"REPTIL","FRAMIL 2018",206,"REPTIL"
"85","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"86","FRAMIL","2018",2018-07-25,"2",NA,25,"REPTIL","FRAMIL 2018",206,"REPTIL"
"87","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"88","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"89","FRAMIL","2018",2018-07-25,"2","P",25,NA,"FRAMIL 2018",206,"VESPULA"
